랭킹,제목,가수,앨범
1,안녕,폴킴(Paul Kim),호텔 델루나 OST Part.10
2,내 목소리 들리니,벤,호텔 델루나 OST Part.9
3,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
4,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
5,ICY,ITZY (있지),IT'z ICY
6,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2
7,방에 모기가 있어 (Do You Think Of Me?),10CM,방에 모기가 있어 (4.4)
8,"fuck, i'm lonely (feat. Anne-Marie)",Lauv(라우브),"fuck, i'm lonely (from “13 Reasons Why: Season 3”)"
9,내 맘을 볼 수 있나요,헤이즈(Heize),호텔 델루나 OST Part.5
10,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(MAKTUB),Red Moon : To You My Light
11,그 끝에 그대,청하,호텔 델루나 OST Part.6
12,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),FALL IN LOVE
13,어떤 별보다,Red Velvet (레드벨벳),호텔 델루나 OST Part.8
14,Señorita,Shawn Mendes(션 멘데스),Señorita
15,니 소식,송하예,니 소식
16,술이 문제야,장혜진,술이 문제야
17,Another Day,먼데이 키즈(Monday Kiz),호텔 델루나 OST Part.1
18,포장마차,황인욱,포장마차
19,2002,Anne-Marie(앤 마리),Speak Your Mind [Deluxe]
20,헤어져줘서 고마워,벤,헤어져줘서 고마워
21,Speechless (Full),Naomi Scott,알라딘 (Aladdin) OST
22,너만 너만 너만,양다일,호텔 델루나 OST Part.4
23,Snapping,청하,Flourishing
24,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
25,비가 내리는 날에는,윤하(Younha/ユンナ),STABLE MINDSET
26,솔직하게 말해서 나,김나영,솔직하게 말해서 나
27,bad guy,Billie Eilish(빌리 아일리시),"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
28,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
29,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
