종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","03",,"44802511","500","22401255500","원(KRW)","박종익, 김세완 (각자 대표이사)","02-896-9474","서울특별시 금천구  시흥대로71길 30-1 "
"095570","AJ네트웍스","KOSPI",,,"147603","산업용 기계 및 장비 임대업","12",,"46822295","1000","46822295000","원(KRW)","이현우","02-6363-9999","서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
"006840","AK홀딩스","KOSPI",,,"116409","기타 금융업","12",,"13247561","5000","66237805000","원(KRW)","채형석, 이석주(각자 대표이사)","02-768-2923","서울특별시 마포구 양화로 188 - "
"054620","APS홀딩스","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"20394221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"14480227","500","7240113500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"15014804","500","7507402000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"027410","BGF","KOSPI",,,"116409","기타 금융업","12",,"95716791","1000","95716791000",,"홍정국","1577-3663","서울특별시 강남구 테헤란로 405 "
"282330","BGF리테일","KOSPI",,,"074701","종합 소매업","12",,"17283906","1000","17283906000","원(KRW)","이건준","02-1577-8007","서울특별시 강남구 테헤란로 405 BGF사옥"
"138930","BNK금융지주","KOSPI",,,"116409","기타 금융업","12",,"325935246","5000","1629676230000","원(KRW)","김지완","051-620-3023","부산광역시 남구 문현금융로 30(문현동) "
"001460","BYC","KOSPI",,,"031401","봉제의복 제조업","12",,"624615","5000","4200000000","원(KRW)","고 윤 성","02-840-3172","서울특별시 영등포구 도림천로21길 3 "
"001040","CJ","KOSPI",,,"116409","기타 금융업","12",,"29176998","5000","179047370000","원(KRW)","손경식, 김홍기","02-726-8114","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
"079160","CJ CGV","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"35100000","500","17550000000","원(KRW)","최병환","02-371-6660","서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) "
"035760","CJ ENM","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","Minheoi Heo, Minho Hou","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"000120","CJ대한통운","KOSPI",,,"084903","도로 화물 운송업","12",,"22812344","5000","114061720000","원(KRW)","박근희","02-3782-0114","서울특별시 중구  세종대로9길 53 "
"011150","CJ씨푸드","KOSPI",,,"031007","기타 식품 제조업","12",,"35930773","500","18065386500","원(KRW)","이인덕, 오재석(각자대표)","031-730-9114","경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)"
"097950","CJ제일제당","KOSPI",,,"031007","기타 식품 제조업","12",,"15054186","5000","81908095000","원(KRW)","손경식, 강신호, 최은석 (각자 대표이사)","726-8114","서울특별시 중구  동호로 330 "
"051500","CJ프레시웨이","KOSDAQ","우량기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","문종석","02-2149-6007","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","02-3453-8816","서울특별시 강남구 도산대로66길 14 (청담동)"
"023460","CNH","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"37200000","2500","93000000000","원(KRW)","임영기,김양수(각자 대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"056000","COWON","KOSDAQ","관리종목(소속부없음)",,"105802","소프트웨어 개발 및 공급업","12",,"19720225","500","9860112500","원(KRW)","신현종, 이승훈","02-557-9482","서울특별시 강남구 언주로 540 코원타워 5층"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"18835150","500","9417575000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)",,"032004","기타 화학제품 제조업","12",,"37072045","500","18536022500","원(KRW)","조성아","02-483-0077","서울특별시 강남구 학동로30길 20 -"
"000590","CS홀딩스","KOSPI",,,"116409","기타 금융업","12",,"1154482","5000","5772410000","원(KRW)","임규섭","02-3459-9363","경상북도 포항시 남구 괴동로 43 (장흥동)"
