랭킹,제목,가수,앨범
1,Celebrity,아이유(IU),Celebrity
2,Bicycle,청하,Querencia
3,내 손을 잡아,아이유(IU),최고의 사랑 (MBC 수목드라마) - Part.4
4,Bang!,AJR,Bang!
5,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
6,Dynamite,방탄소년단,Dynamite (DayTime Version)
7,I'm Not Cool,현아,I’m Not Cool
8,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하(Younha/ユンナ),서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))
9,화(火花),(여자)아이들,I burn
10,"사랑, 이게 맞나 봐",DAY6 (Even of Day),"비밀:리에 vol.1 ""사랑, 이게 맞나 봐"""
11,마음이 그래,개코,마음이 그래
12,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
13,ZERO:ATTITUDE (Feat. pH-1),소유 (SOYOU),ZERO:ATTITUDE
14,Lovesick Girls,BLACKPINK,THE ALBUM
15,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
16,parachute,John K,love + everything else
17,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album
18,잠이 오질 않네요,장범준,잠이 오질 않네요
19,Blueming,아이유(IU),Love poem
20,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
21,에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇
22,우린 어쩌다 헤어진 걸까,허각,Hello
23,술 한잔 해요,경서 (경서예지),술 한잔 해요
24,At My Worst,Pink Sweat$,The Prelude
25,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이,쇼미더머니 9 Episode 1
26,아무렇지 않은 사람,카더가든,부재
27,휘파람,이무진,싱어게인 - 무명가수전 Episode.6
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
29,Black Mamba,aespa,Black Mamba
30,Panorama,IZ*ONE(아이즈원),One-reeler / Act IV
31,Life Goes On,방탄소년단,BE
32,아이 (Daydream),CHEEZE(치즈),"선배, 그 립스틱 바르지 마요 OST Part.6"
33,내 얘기 같아 (Feat. 헤이즈),에픽하이 (EPIK HIGH),Epik High Is Here 上
34,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
35,가을밤에 든 생각,잔나비,잔나비 소곡집 l
36,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
37,그대 없이 그대와,HYNN(박혜원),그대 없이 그대와
38,Lovegame,백예린 (Yerin Baek),tellusboutyourself
39,For You (Feat. Crush),이하이,For You
40,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
41,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1)
42,How You Like That,BLACKPINK,How You Like That
43,마음을 드려요,아이유(IU),사랑의 불시착 OST Part 11
44,Square (2017),백예린 (Yerin Baek),Every letter I sent you.
45,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
46,주저하는 연인들을 위해,잔나비,전설
47,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
48,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래
49,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI),쇼미더머니 9 Episode 3
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
51,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
52,천 개의 바람이 되어,임영웅,사랑의 콜센타 PART42
53,METEOR,창모(CHANGMO),Boyhood
54,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP)
55,34+35,Ariana Grande(아리아나 그란데),Positions
56,Memories,Maroon 5(마룬 파이브),Memories
57,Dolphin,오마이걸(OH MY GIRL),NONSTOP
